ep-as-svc      5111/tcp
beyond-remote    5424/udp
br-channel       5425/tcp
br-channel       5425/udp
devbasic         5426/tcp
devbasic         5426/udp
sco-peer-tta     5427/tcp
sco-peer-tta     5427/udp
telaconsole      5428/tcp
telaconsole      5428/udp
base             5429/tcp
base             5429/udp
radec-corp       5430/tcp
radec-corp       5430/udp
park-agent       5431/tcp
park-agent       5431/udp
postgresql       5432/tcp
postgresql       5432/udp
pyrrho           5433/tcp
pyrrho           5433/udp
sgi-arrayd       5434/tcp
sgi-arrayd       5434/udp
sceanics         5435/tcp
sceanics         5435/udp
pmip6-cntl       5436/udp
pmip6-data       5437/udp
spss             5443/tcp
spss             5443/udp
smbdirect        5445/tcp
smbdirect        5445/sctp
tiepie           5450/tcp
tiepie-disc      5450/udp
surebox          5453/tcp
surebox          5453/udp
apc-5454         5454/tcp
apc-5454         5454/udp
apc-5455         5455/tcp
apc-5455         5455/udp
apc-5456         5456/tcp
apc-5456         5456/udp
silkmeter        5461/tcp
silkmeter        5461/udp
ttl-publisher    5462/tcp
ttl-publisher    5462/udp
ttlpriceproxy    5463/tcp
ttlpriceproxy    5463/udp
quailnet         5464/tcp
quailnet         5464/udp
netops-broker    5465/tcp
netops-broker    5465/u
